State,Density (/mi²),2023 Population,Total Area (mi²)
New Jersey,"1,259","9,255,437","8,723"
Rhode Island,"1,055","1,090,483","1,545"
Massachusetts,894,"6,974,258","10,554"
Connecticut,749,"3,629,055","5,543"
Maryland,634,"6,154,710","12,406"
Delaware,529,"1,031,985","2,489"
Florida,423,"22,661,577","65,758"
New York,414,"19,496,810","54,555"
Pennsylvania,289,"12,931,957","46,054"
Ohio,288,"11,747,774","44,826"
California,250,"38,915,693","163,696"
Illinois,225,"12,477,595","57,914"
Hawaii,223,"1,433,238","10,932"
North Carolina,223,"10,832,061","53,819"
Virginia,221,"8,709,873","42,775"
Georgia,192,"11,037,723","59,425"
Indiana,191,"6,852,542","36,420"
South Carolina,179,"5,372,002","32,020"
Michigan,177,"10,030,722","96,714"
Tennessee,173,"7,134,327","42,144"
New Hampshire,157,"1,402,957","9,349"
Washington,118,"7,830,827","71,298"
Texas,117,"30,500,280","268,596"
Kentucky,114,"4,518,031","40,408"
Wisconsin,109,"5,904,977","65,496"
Louisiana,105,"4,553,384","52,378"
Alabama,101,"5,098,746","52,420"
Missouri,90,"6,186,091","69,707"
West Virginia,73,"1,764,786","24,230"
Minnesota,72,"5,722,897","86,936"
Vermont,70,"647,156","9,616"
Arizona,66,"7,453,517","113,990"
Mississippi,62,"2,930,528","48,432"
Oklahoma,59,"4,048,375","69,899"
Arkansas,59,"3,063,152","53,179"
Iowa,57,"3,203,345","56,273"
Colorado,57,"5,868,555","104,094"
Maine,45,"1,393,442","35,380"
Oregon,44,"4,223,973","98,379"
Utah,42,"3,422,487","84,897"
Kansas,36,"2,936,378","82,278"
Nevada,29,"3,209,142","110,572"
Nebraska,26,"1,972,292","77,348"
Idaho,24,"1,973,752","83,569"
New Mexico,17,"2,110,011","121,590"
South Dakota,12,"923,484","77,116"
North Dakota,11,"780,588","70,698"
Montana,8,"1,139,507","147,040"
Wyoming,6,"583,279","97,813"
Alaska,1,"732,984","665,384"
